host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month
96%,91%,f,41.0,46.0,t,la Sagrada FamÃ­lia,41.40556,2.17262,Entire rental unit,Entire home/apt,8,3.0,6.0,$210.00,1,1125,1.0,31.0,999.0,999.0,3.0,999.0,12,29,56,80,51,7,0,74,5,42,8820.0,4.34,4.4,4.56,4.64,4.62,4.82,4.32,t,26,0.34
100%,96%,t,6.0,9.0,t,el BesÃ²s i el Maresme,41.41243172529066,2.219750335269476,Entire rental unit,Entire home/apt,5,3.0,4.0,$285.00,3,32,1.0,7.0,1125.0,1125.0,4.1,1125.0,10,33,63,289,91,12,2,82,7,72,20520.0,4.82,4.94,4.9,4.94,4.99,4.66,4.68,f,1,0.52
100%,100%,f,3.0,15.0,t,el Camp d'en Grassot i GrÃ cia Nova,41.40566,2.17015,Entire rental unit,Entire home/apt,6,2.0,3.0,$170.00,1,31,1.0,1.0,31.0,31.0,1.0,31.0,13,23,53,64,152,23,0,64,37,138,23460.0,4.46,4.43,4.37,4.88,4.89,4.89,4.47,f,2,0.88
100%,92%,f,5.0,5.0,t,el Barri GÃ²tic,41.38062,2.17517,Entire condo,Entire home/apt,2,1.0,1.0,$110.00,31,180,31.0,31.0,180.0,180.0,31.0,180.0,30,60,90,333,25,5,0,108,17,255,28050.0,4.36,4.45,4.55,4.68,4.68,4.73,4.23,f,3,0.14
100%,92%,f,5.0,5.0,t,el Barri GÃ²tic,41.37978,2.17623,Entire rental unit,Entire home/apt,9,4.0,6.0,$333.00,5,365,2.0,5.0,1125.0,1125.0,4.8,1125.0,10,30,60,335,271,23,1,78,34,230,76590.0,4.57,4.61,4.66,4.69,4.72,4.65,4.46,f,3,1.49
100%,100%,t,7.0,16.0,t,la Dreta de l'Eixample,41.39631,2.16832,Entire condo,Entire home/apt,4,1.0,2.0,$204.00,2,364,1.0,2.0,364.0,364.0,2.0,364.0,1,10,34,298,402,65,4,45,61,255,52020.0,4.53,4.6,4.56,4.85,4.85,4.9,4.51,f,5,2.32
100%,100%,f,3.0,15.0,t,el Camp d'en Grassot i GrÃ cia Nova,41.4057,2.17016,Entire rental unit,Entire home/apt,6,2.0,7.0,$170.00,1,31,1.0,1.0,31.0,31.0,1.0,31.0,15,25,55,66,139,26,1,66,31,156,26520.0,4.62,4.75,4.39,4.92,4.96,4.89,4.57,f,2,0.81
100%,100%,t,2.0,5.0,t,el Barri GÃ²tic,41.3806,2.17796,Entire vacation home,Entire home/apt,4,2.0,2.0,$128.00,31,730,31.0,31.0,730.0,730.0,31.0,730.0,14,14,27,302,93,0,0,45,1,0,0.0,4.75,4.65,4.31,4.92,4.93,4.9,4.67,f,2,0.53
0%,0%,f,1.0,2.0,t,Vallcarca i els Penitents,41.41841,2.13307,Entire rental unit,Entire home/apt,9,3.0,5.0,$315.00,5,28,5.0,5.0,28.0,28.0,5.0,28.0,0,0,0,268,1,0,0,12,0,0,0.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,f,1,0.01
60%,5%,f,8.0,13.0,t,el Raval,41.38174,2.16663,Entire rental unit,Entire home/apt,4,4.0,5.0,$70.00,31,730,28.0,28.0,730.0,730.0,28.0,730.0,15,45,75,350,10,0,0,93,1,0,0.0,3.88,3.63,3.25,3.88,3.75,4.25,3.75,f,8,0.06
97%,96%,t,6.0,9.0,t,el Poblenou,41.39909,2.20733,Entire serviced apartment,Entire home/apt,3,1.0,2.0,$272.00,1,28,1.0,6.0,28.0,28.0,3.5,28.0,25,55,85,254,1011,176,8,103,121,255,69360.0,4.73,4.7,4.78,4.76,4.8,4.8,4.51,f,6,7.5
100%,97%,t,10.0,10.0,t,el Clot,41.40682,2.18649,Entire rental unit,Entire home/apt,3,3.0,3.0,$153.00,3,330,2.0,7.0,7.0,330.0,3.2,322.0,4,19,49,72,131,21,3,68,23,126,19278.0,4.5,4.63,4.43,4.91,4.92,4.79,4.42,f,10,0.79
100%,88%,t,1.0,1.0,t,el Poble Sec,41.37371,2.16706,Entire rental unit,Entire home/apt,5,3.0,3.0,$126.00,5,1125,5.0,9.0,1125.0,1125.0,5.5,1125.0,4,15,45,101,205,16,1,57,18,160,20160.0,4.69,4.78,4.73,4.83,4.88,4.73,4.64,f,1,1.18
100%,84%,f,4.0,6.0,t,Sant Antoni,41.38237,2.16146,Private room in rental unit,Private room,2,1.0,1.0,$82.00,3,365,3.0,3.0,365.0,365.0,3.0,365.0,6,6,6,6,134,3,0,6,12,18,1476.0,4.38,4.37,4.74,4.45,4.73,4.84,4.32,f,4,0.76
100%,100%,f,84.0,89.0,t,la Dreta de l'Eixample,41.39224,2.17806,Entire rental unit,Entire home/apt,3,1.0,2.0,$180.00,1,365,2.0,31.0,999.0,999.0,3.1,999.0,4,15,32,306,421,37,0,50,42,222,39960.0,4.78,4.85,4.8,4.91,4.91,4.94,4.71,t,84,2.5
100%,92%,f,118.0,133.0,t,el Camp d'en Grassot i GrÃ cia Nova,41.40271,2.16646,Entire rental unit,Entire home/apt,4,1.0,1.0,$94.00,1,1125,1.0,5.0,2.0,1125.0,2.8,973.1,14,17,17,292,95,27,0,35,34,162,15228.0,4.28,4.41,4.31,4.39,4.48,4.71,4.13,f,85,0.59
100%,99%,t,7.0,20.0,t,la Sagrada FamÃ­lia,41.40653,2.1746,Entire rental unit,Entire home/apt,8,3.0,6.0,$437.00,1,32,1.0,3.0,100.0,100.0,1.9,100.0,19,47,77,92,143,15,0,92,17,90,39330.0,4.47,4.52,4.58,4.61,4.62,4.85,4.44,t,6,0.82
