host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,availability_eoy,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,instant_bookable,calculated_host_listings_count,reviews_per_month
0.96,0.91,f,41,46,t,la Sagrada FamÃ­lia,41.40556,2.17262,Entire rental unit,Entire home/apt,8,3,6,$210.00,1,1125,80,51,74,42,8820,4.34,4.4,t,26,0.34
1.00,0.96,t,6,9,t,el BesÃ²s i el Maresme,41.41243173,2.219750335,Entire rental unit,Entire home/apt,5,3,4,$285.00,3,32,289,91,82,72,20520,4.82,4.94,f,1,0.52
1.00,1.00,f,3,15,t,el Camp d'en Grassot i GrÃ cia Nova,41.40566,2.17015,Entire rental unit,Entire home/apt,6,2,3,$170.00,1,31,64,152,64,138,23460,4.46,4.43,f,2,0.88
1.00,0.92,f,5,5,t,el Barri GÃ²tic,41.38062,2.17517,Entire condo,Entire home/apt,2,1,1,$110.00,31,180,333,25,108,255,28050,4.36,4.45,f,3,0.14
1.00,0.92,f,5,5,t,el Barri GÃ²tic,41.37978,2.17623,Entire rental unit,Entire home/apt,9,4,6,$333.00,5,365,335,271,78,230,76590,4.57,4.61,f,3,1.49
1.00,1.00,t,7,16,t,la Dreta de l'Eixample,41.39631,2.16832,Entire condo,Entire home/apt,4,1,2,$204.00,2,364,298,402,45,255,52020,4.53,4.6,f,5,2.32
1.00,1.00,f,3,15,t,el Camp d'en Grassot i GrÃ cia Nova,41.4057,2.17016,Entire rental unit,Entire home/apt,6,2,7,$170.00,1,31,66,139,66,156,26520,4.62,4.75,f,2,0.81
1.00,1.00,t,2,5,t,el Barri GÃ²tic,41.3806,2.17796,Entire vacation home,Entire home/apt,4,2,2,$128.00,31,730,302,93,45,0,0,4.75,4.65,f,2,0.53
0.00,0.00,f,1,2,t,Vallcarca i els Penitents,41.41841,2.13307,Entire rental unit,Entire home/apt,9,3,5,$315.00,5,28,268,1,12,0,0,5,4,f,1,0.01
0.60,0.05,f,8,13,t,el Raval,41.38174,2.16663,Entire rental unit,Entire home/apt,4,4,5,$70.00,31,730,350,10,93,0,0,3.88,3.63,f,8,0.06
0.97,0.96,t,6,9,t,el Poblenou,41.39909,2.20733,Entire serviced apartment,Entire home/apt,3,1,2,$272.00,1,28,254,1011,103,255,69360,4.73,4.7,f,6,7.5
1.00,0.97,t,10,10,t,el Clot,41.40682,2.18649,Entire rental unit,Entire home/apt,3,3,3,$153.00,3,330,72,131,68,126,19278,4.5,4.63,f,10,0.79
1.00,0.88,t,1,1,t,el Poble Sec,41.37371,2.16706,Entire rental unit,Entire home/apt,5,3,3,$126.00,5,1125,101,205,57,160,20160,4.69,4.78,f,1,1.18
1.00,0.84,f,4,6,t,Sant Antoni,41.38237,2.16146,Private room in rental unit,Private room,2,1,1,$82.00,3,365,6,134,6,18,1476,4.38,4.37,f,4,0.76
1.00,1.00,f,84,89,t,la Dreta de l'Eixample,41.39224,2.17806,Entire rental unit,Entire home/apt,3,1,2,$180.00,1,365,306,421,50,222,39960,4.78,4.85,t,84,2.5
1.00,0.92,f,118,133,t,el Camp d'en Grassot i GrÃ cia Nova,41.40271,2.16646,Entire rental unit,Entire home/apt,4,1,1,$94.00,1,1125,292,95,35,162,15228,4.28,4.41,f,85,0.59
1.00,0.99,t,7,20,t,la Sagrada FamÃ­lia,41.40653,2.1746,Entire rental unit,Entire home/apt,8,3,6,$437.00,1,32,92,143,92,90,39330,4.47,4.52,t,6,0.82
1.00,1.00,t,1,1,t,Sants,41.37155,2.13664,Entire rental unit,Entire home/apt,2,1,1,$140.00,3,1125,317,472,61,234,32760,4.85,4.89,f,1,2.76
1.00,0.50,t,1,2,t,el Poblenou,41.39787,2.20429,Entire rental unit,Entire home/apt,6,3,3,$175.00,1,330,244,195,82,255,44625,4.72,4.79,f,1,1.15
0.90,0.97,t,3,8,t,Pedralbes,41.38832,2.12201,Private room in rental unit,Private room,1,1,1,$45.00,32,1125,292,145,36,255,11475,4.63,4.61,f,3,0.85
1.00,0.84,f,4,6,t,Sant Antoni,41.38189,2.15857,Private room in rental unit,Private room,2,1,1,$81.00,3,365,6,41,6,0,0,4.34,4.08,f,4,0.24
1.00,0.62,t,2,2,t,el GuinardÃ³,41.42337,2.1749,Private room in rental unit,Private room,1,1,1,$17.00,31,1125,240,135,73,186,3162,4.27,4.53,f,2,1.07
1.00,0.97,t,10,10,t,el Clot,41.40671,2.18592,Entire rental unit,Entire home/apt,4,2,2,$154.00,3,330,63,146,59,186,28644,4.84,4.87,f,10,0.97
1.00,0.97,t,10,10,t,el Clot,41.40681,2.18553,Entire rental unit,Entire home/apt,3,2,2,$154.00,3,330,65,99,61,174,26796,4.77,4.8,f,10,1.15
1.00,0.99,t,7,20,t,la Sagrada FamÃ­lia,41.40653,2.17455,Entire rental unit,Entire home/apt,8,3,6,$319.00,32,32,34,48,34,255,81345,4.52,4.54,f,6,0.4
1.00,0.85,f,2,11,t,l'Antiga Esquerra de l'Eixample,41.38842,2.16108,Entire rental unit,Entire home/apt,8,4,5,$463.00,2,60,248,486,34,255,118065,4.95,4.93,f,2,2.86
1.00,0.97,t,3,15,t,la Vila de GrÃ cia,41.40661,2.15115,Entire rental unit,Entire home/apt,3,1,2,$41.00,31,300,89,364,35,186,7626,4.54,4.59,f,3,2.18
1.00,0.97,f,15,39,t,Diagonal Mar i el Front MarÃ­tim del Poblenou,41.40805,2.21487,Entire rental unit,Entire home/apt,8,4,6,$500.00,2,365,57,137,55,78,39000,4.73,4.87,f,10,0.84
1.00,1.00,t,6,13,t,la Vila de GrÃ cia,41.39877,2.15887,Entire rental unit,Entire home/apt,4,2,2,$191.00,4,180,260,321,41,255,48705,4.75,4.82,t,3,1.91
1.00,1.00,t,2,2,t,el Poble Sec,41.3724,2.1648,Entire rental unit,Entire home/apt,2,1,1,$156.00,3,365,27,181,0,96,14976,4.9,4.94,f,1,1.07
1.00,1.00,t,1,1,t,la Vila de GrÃ cia,41.398,2.1553,Entire rental unit,Entire home/apt,4,2,3,$129.00,2,120,220,374,38,60,7740,4.8,4.84,f,1,2.42
1.00,1.00,t,1,1,t,el Fort Pienc,41.39970016,2.174887896,Entire rental unit,Entire home/apt,3,1,2,$236.00,7,30,219,136,57,255,60180,4.73,4.84,f,1,1.35
0.92,0.44,f,20,43,t,la Barceloneta,41.38113,2.18897,Entire rental unit,Entire home/apt,4,3,4,$92.00,60,1125,184,5,17,0,0,4.33,4,f,19,0.03
0.99,0.94,t,140,142,t,Sant MartÃ­ de ProvenÃ§als,41.41626,2.20149,Entire rental unit,Entire home/apt,6,3,3,$257.00,2,400,86,144,82,24,6168,4.54,4.49,f,6,0.87
1.00,0.80,f,47,161,t,el Raval,41.3817,2.17195,Entire rental unit,Entire home/apt,4,1,2,$50.00,32,330,289,27,32,0,0,4.35,4.15,f,47,0.16
1.00,0.90,f,2,3,t,Vallcarca i els Penitents,41.41336823,2.138876915,Private room in rental unit,Private room,1,1,1,$30.00,31,1125,71,75,40,186,5580,4.81,4.81,f,2,0.46
0.90,0.93,t,1,2,t,la Barceloneta,41.37722,2.18944,Private room in rental unit,Private room,1,1,1,$60.00,31,40,58,198,58,255,15300,4.57,4.43,f,1,1.23
1.00,1.00,f,14,14,t,la Dreta de l'Eixample,41.39268,2.17214,Entire rental unit,Entire home/apt,6,3,3,$365.00,2,180,206,103,87,144,52560,4.59,4.73,t,14,0.63
1.00,1.00,f,14,14,t,la Dreta de l'Eixample,41.39184,2.17146,Entire rental unit,Entire home/apt,6,3,3,$423.00,2,180,194,181,75,255,107865,4.7,4.74,t,14,1.71
1.00,1.00,t,1,8,t,Sant Antoni,41.3778,2.1582,Entire rental unit,Entire home/apt,2,1,1,$156.00,6,1125,16,202,2,240,37440,4.66,4.75,f,1,1.24
1.00,0.86,t,45,46,t,l'Antiga Esquerra de l'Eixample,41.3895,2.15769,Entire rental unit,Entire home/apt,4,2,2,$208.00,3,365,58,357,41,255,53040,4.73,4.81,f,43,2.15
0.83,0.28,f,426,618,t,el Poble Sec,41.37314,2.16789,Entire rental unit,Entire home/apt,6,2,5,$173.00,3,330,359,2,102,0,0,3.5,4,f,413,0.01
0.98,0.98,t,15,34,t,la Nova Esquerra de l'Eixample,41.38306673,2.15517545,Entire condo,Entire home/apt,6,3,4,$236.00,1,1125,243,161,43,108,25488,4.69,4.77,t,15,1.01
0.98,0.98,t,15,34,t,SarriÃ ,41.39175721,2.12505626,Entire condo,Entire home/apt,6,3,4,$266.00,1,1125,250,105,53,120,31920,4.76,4.75,t,15,0.65
0.90,0.98,t,1,1,t,el Parc i la Llacuna del Poblenou,41.39086,2.18803,Entire rental unit,Entire home/apt,4,1,2,$156.00,7,120,250,356,41,255,39780,4.93,4.93,t,1,2.15
0.83,0.28,f,426,618,t,"Sant Pere, Santa Caterina i la Ribera",41.38493,2.1809,Entire rental unit,Entire home/apt,6,3,4,$240.00,32,330,224,11,1,64,15360,4.91,4.82,f,413,0.07
0.83,0.28,f,426,618,t,la Vila OlÃ­mpica del Poblenou,41.39383,2.19813,Entire rental unit,Entire home/apt,5,2,5,$380.00,31,365,365,8,108,0,0,4.88,4.67,f,413,0.05
1.00,0.96,t,6,11,t,la Vila de GrÃ cia,41.40697,2.16106,Entire loft,Entire home/apt,3,1,2,$202.00,3,150,127,282,60,84,16968,4.71,4.79,f,4,1.7
0.90,0.76,t,3,3,t,el Camp d'en Grassot i GrÃ cia Nova,41.40466,2.17147,Entire home,Entire home/apt,5,2,4,$140.00,3,90,309,87,52,108,15120,4.84,4.71,f,3,0.53
1.00,1.00,f,1,3,t,el Poble Sec,41.37195,2.16936,Entire rental unit,Entire home/apt,2,1,1,$111.00,3,365,124,79,5,36,3996,4.77,4.9,t,1,0.48
1.00,0.98,t,2,2,t,la Dreta de l'Eixample,41.39076,2.17503,Entire rental unit,Entire home/apt,3,1,3,$196.00,5,1125,45,311,45,255,49980,4.89,4.92,f,2,1.91
1.00,0.93,t,12,24,t,la Dreta de l'Eixample,41.39782415,2.170576756,Entire rental unit,Entire home/apt,5,3,4,$182.00,2,1125,328,703,71,255,46410,4.79,4.78,f,12,4.27
0.90,0.92,t,3,4,t,Sant Antoni,41.37793,2.15978,Private room in rental unit,Private room,2,1,1,$59.00,3,6,298,334,52,216,12744,4.65,4.73,f,1,2.04
1.00,1.00,t,2,12,t,la Vila OlÃ­mpica del Poblenou,41.39253235,2.193255901,Entire rental unit,Entire home/apt,4,1,2,$266.00,1,365,135,90,78,108,28728,4.68,4.7,t,2,0.65
0.83,0.28,f,426,618,t,les Corts,41.3826,2.13075,Entire rental unit,Entire home/apt,2,1,2,$140.00,32,330,364,1,108,0,0,5,5,f,413,0.01
0.98,0.97,f,41,58,t,la Dreta de l'Eixample,41.39993,2.16536,Entire rental unit,Entire home/apt,4,1,1,$186.00,3,1125,77,51,77,48,8928,4.41,4.43,t,39,0.41
0.98,0.97,f,41,58,t,la Vila de GrÃ cia,41.40735,2.15885,Entire rental unit,Entire home/apt,7,3,5,$187.00,3,1125,87,65,87,132,24684,4.49,4.68,t,39,0.47
0.98,0.97,f,41,58,t,la Vila de GrÃ cia,41.40399,2.15565,Entire rental unit,Entire home/apt,7,3,4,$252.00,3,1125,77,166,77,255,64260,4.48,4.6,t,39,1.1
0.98,0.98,t,15,34,t,el Fort Pienc,41.39271,2.17974,Entire condo,Entire home/apt,6,3,8,$299.00,1,1125,274,114,72,114,34086,4.61,4.65,t,15,0.76
1.00,0.99,t,7,11,t,la Nova Esquerra de l'Eixample,41.38184,2.15119,Entire rental unit,Entire home/apt,4,2,2,$186.00,2,30,306,288,59,255,47430,4.76,4.79,t,1,2.05
0.00,0.00,f,2,2,t,"Sant Pere, Santa Caterina i la Ribera",41.38422,2.18412,Entire rental unit,Entire home/apt,6,2,4,$220.00,1,730,179,194,24,6,1320,4.56,4.69,f,2,1.4
1.00,1.00,t,2,3,t,la Vila de GrÃ cia,41.40508,2.15491,Entire home,Entire home/apt,3,3,3,$287.00,1,10,276,508,51,255,73185,4.91,4.93,f,2,3.16
1.00,0.99,f,5,17,t,Diagonal Mar i el Front MarÃ­tim del Poblenou,41.40502,2.20802,Entire rental unit,Entire home/apt,4,2,2,$152.00,2,1125,300,563,50,255,38760,4.69,4.79,t,5,3.49
1.00,1.00,f,1,2,t,Sant Antoni,41.37555348,2.16253593,Entire condo,Entire home/apt,4,2,2,$166.00,2,35,317,465,74,240,39840,4.66,4.7,f,1,2.83
0.91,0.86,f,4,5,t,la Nova Esquerra de l'Eixample,41.37911,2.15356,Entire rental unit,Entire home/apt,5,3,3,$256.00,1,1125,335,143,79,30,7680,4.68,4.82,f,4,0.89
0.83,0.28,f,426,618,t,"Sant Pere, Santa Caterina i la Ribera",41.38545,2.18117,Entire rental unit,Entire home/apt,6,3,4,$240.00,32,330,365,5,108,0,0,4.8,4.8,f,413,0.13
0.83,0.28,f,426,618,t,el Barri GÃ²tic,41.38148,2.18123,Entire rental unit,Entire home/apt,3,1,3,$250.00,1,330,362,5,108,6,1500,4.8,4.4,f,413,0.03
0.83,0.28,f,426,618,t,la Dreta de l'Eixample,41.39639,2.17641,Entire rental unit,Entire home/apt,6,3,4,$238.00,1,330,365,9,108,0,0,3.75,3.75,f,413,0.06
1.00,0.82,t,5,6,t,la Dreta de l'Eixample,41.38992,2.16974,Entire rental unit,Entire home/apt,2,1,1,$800.00,3,360,329,228,72,0,0,4.97,4.98,f,5,1.4
0.33,0.22,f,1,16,t,"Sant Pere, Santa Caterina i la Ribera",41.38203,2.18362,Entire rental unit,Entire home/apt,6,3,6,$555.00,2,60,330,279,81,18,9990,4.63,4.69,f,1,1.7
1.00,0.99,t,3,7,t,la Nova Esquerra de l'Eixample,41.38268,2.15044,Entire rental unit,Entire home/apt,2,2,2,$179.00,2,7,187,211,31,255,45645,4.86,4.93,f,3,1.29
0.83,0.28,f,426,618,t,el Barri GÃ²tic,41.38035,2.17821,Entire rental unit,Entire home/apt,5,2,5,$211.00,2,330,358,11,101,0,0,4.29,4.18,f,413,0.07
1.00,0.70,f,1,1,t,el Poble Sec,41.37374,2.15852,Entire rental unit,Entire home/apt,7,3,3,$118.00,1,365,311,696,61,255,30090,4.65,4.71,f,1,4.26
1.00,0.57,t,1,1,t,la Vila de GrÃ cia,41.40413,2.15692,Entire home,Entire home/apt,4,2,4,$126.00,30,1125,149,113,77,240,30240,4.72,4.76,f,1,0.76
1.00,0.99,t,9,14,t,el Barri GÃ²tic,41.37973,2.17458,Entire serviced apartment,Entire home/apt,5,2,3,$294.00,1,365,169,223,23,156,45864,4.71,4.6,f,9,1.63
0.83,0.28,f,426,618,t,"Sant Pere, Santa Caterina i la Ribera",41.3884,2.17936,Entire rental unit,Entire home/apt,4,1,2,$250.00,2,1125,356,3,108,0,0,5,5,f,413,0.02
1.00,0.88,t,1,1,t,el Putxet i el FarrÃ³,41.40864,2.14557,Entire home,Entire home/apt,8,4,5,$652.00,2,1125,122,126,92,162,105624,4.85,4.9,f,1,0.92
1.00,0.86,t,3,3,t,la Dreta de l'Eixample,41.39144,2.16128,Entire rental unit,Entire home/apt,4,2,4,$292.00,1,1125,253,515,30,255,74460,4.85,4.87,f,2,3.2
1.00,0.94,t,1,6,t,la Vila de GrÃ cia,41.40002,2.1579,Entire rental unit,Entire home/apt,6,2,3,$150.00,2,30,212,456,38,255,38250,4.66,4.78,f,1,2.83
1.00,1.00,t,22,27,t,la Sagrada FamÃ­lia,41.40998,2.17553,Entire rental unit,Entire home/apt,5,2,4,$171.00,4,1124,105,223,62,216,36936,4.66,4.75,t,21,1.39
1.00,0.70,t,1,1,t,el Barri GÃ²tic,41.37733,2.17651,Private room in rental unit,Private room,1,1,1,$35.00,31,62,133,373,61,255,8925,4.79,4.82,f,1,2.35
